ID,Label,Attribute
1,"https://clinicaltrials.gov/ct2/show/NCT03707951
",trial
2,"http://id.nlm.nih.gov/mesh/2022/T003071
",Intervention
3,"http://id.nlm.nih.gov/mesh/2022/T000317
",Intervention
4,"http://id.nlm.nih.gov/mesh/2022/T047999
",Intervention
5,"http://id.nlm.nih.gov/mesh/2022/T003008
",Intervention
6,"http://id.nlm.nih.gov/mesh/2022/T015618
",Intervention
7,"http://id.nlm.nih.gov/mesh/2022/T059525
",Condition
8,"http://id.nlm.nih.gov/mesh/2022/T057100
",Intervention
9,"http://id.nlm.nih.gov/mesh/2022/T001310
",Condition
10,"http://id.nlm.nih.gov/mesh/2022/T059640
",Intervention
11,"http://id.nlm.nih.gov/mesh/2022/T691727
",Intervention
12,"http://id.nlm.nih.gov/mesh/2022/T000862469
",Condition
13,"http://id.nlm.nih.gov/mesh/2022/T002773
",Intervention
14,"http://id.nlm.nih.gov/mesh/2022/T538909
",Intervention
15,"http://id.nlm.nih.gov/mesh/2022/T837932
",Condition
16,"http://id.nlm.nih.gov/mesh/2022/T059540
",Condition
17,"http://id.nlm.nih.gov/mesh/2022/T013226
",Condition
18,"http://id.nlm.nih.gov/mesh/2022/T004427
",Condition
19,"http://id.nlm.nih.gov/mesh/2022/T002593
",Intervention
20,"http://id.nlm.nih.gov/mesh/2022/T127488
",Intervention
21,"http://id.nlm.nih.gov/mesh/2022/T001287
",Condition
