ID,Label,Attribute
1,"https://clinicaltrials.gov/ct2/show/NCT00012558
",trial
2,"http://id.nlm.nih.gov/mesh/2022/T042800
",Intervention
3,"http://id.nlm.nih.gov/mesh/2022/T041446
",Intervention
4,"https://pubmed.ncbi.nlm.nih.gov/18681768
",Pubmed_Article
5,"https://pubmed.ncbi.nlm.nih.gov/25881582
",Pubmed_Article
6,"http://id.nlm.nih.gov/mesh/2022/T000937717
",Intervention
7,"http://id.nlm.nih.gov/mesh/2022/T026901
",Intervention
8,"http://id.nlm.nih.gov/mesh/2022/T044801
",Intervention
9,"http://id.nlm.nih.gov/mesh/2022/T004982
",Condition
10,"http://id.nlm.nih.gov/mesh/2022/T002759
",Intervention
11,"http://id.nlm.nih.gov/mesh/2022/T000874002
",Condition
12,"http://id.nlm.nih.gov/mesh/2022/T000938835
",Intervention
13,"http://id.nlm.nih.gov/mesh/2022/T538909
",Intervention
14,"http://id.nlm.nih.gov/mesh/2022/T055082
",Intervention
15,"http://id.nlm.nih.gov/mesh/2022/T014636
",Intervention
16,"https://pubmed.ncbi.nlm.nih.gov/19210946
",Pubmed_Article
17,"http://id.nlm.nih.gov/mesh/2022/T055641
",Intervention
18,"http://id.nlm.nih.gov/mesh/2022/T853440
",Intervention
19,"http://id.nlm.nih.gov/mesh/2022/T041433
",Intervention
20,"http://id.nlm.nih.gov/mesh/2022/T691727
",Intervention
21,"https://pubmed.ncbi.nlm.nih.gov/22098628
",Pubmed_Article
22,"http://id.nlm.nih.gov/mesh/2022/T041437
",Intervention
23,"http://id.nlm.nih.gov/mesh/2022/T041587
",Intervention
24,"https://pubmed.ncbi.nlm.nih.gov/29883936
",Pubmed_Article
25,"http://id.nlm.nih.gov/mesh/2022/T056585
",Intervention
26,"https://pubmed.ncbi.nlm.nih.gov/17404119
",Pubmed_Article
27,"http://id.nlm.nih.gov/mesh/2022/T002751
",Intervention
28,"https://pubmed.ncbi.nlm.nih.gov/17392295
",Pubmed_Article
29,"http://id.nlm.nih.gov/mesh/2022/T041540
",Intervention
30,"https://pubmed.ncbi.nlm.nih.gov/30153871
",Pubmed_Article
31,"https://pubmed.ncbi.nlm.nih.gov/17728418
",Pubmed_Article
32,"http://id.nlm.nih.gov/mesh/2022/T054793
",Intervention
33,"http://id.nlm.nih.gov/mesh/2022/T012740
",Condition
34,"http://id.nlm.nih.gov/mesh/2022/T007266
",Intervention
35,"http://id.nlm.nih.gov/mesh/2022/T055667
",Intervention
36,"http://id.nlm.nih.gov/mesh/2022/T006046
",Intervention
37,"http://id.nlm.nih.gov/mesh/2022/T055069
",Intervention
38,"http://id.nlm.nih.gov/mesh/2022/T055887
",Intervention
39,"http://id.nlm.nih.gov/mesh/2022/T051967
",Intervention
40,"http://id.nlm.nih.gov/mesh/2022/T051946
",Intervention
41,"http://id.nlm.nih.gov/mesh/2022/T607524
",Intervention
42,"https://pubmed.ncbi.nlm.nih.gov/28846801
",Pubmed_Article
43,"http://id.nlm.nih.gov/mesh/2022/T852918
",Intervention
44,"http://id.nlm.nih.gov/mesh/2022/T037559
",Intervention
45,"http://id.nlm.nih.gov/mesh/2022/T436989
",Intervention
46,"https://pubmed.ncbi.nlm.nih.gov/26228414
",Pubmed_Article
47,"https://pubmed.ncbi.nlm.nih.gov/28234437
",Pubmed_Article
48,"https://pubmed.ncbi.nlm.nih.gov/27233466
",Pubmed_Article
49,"http://id.nlm.nih.gov/mesh/2022/T056553
",Intervention
50,"https://pubmed.ncbi.nlm.nih.gov/23561230
",Pubmed_Article
51,"https://pubmed.ncbi.nlm.nih.gov/20409444
",Pubmed_Article
52,"https://pubmed.ncbi.nlm.nih.gov/27420134
",Pubmed_Article
53,"http://id.nlm.nih.gov/mesh/2022/T021861
",Intervention
54,"http://id.nlm.nih.gov/mesh/2022/T049827
",Intervention
55,"http://id.nlm.nih.gov/mesh/2022/T004427
",Condition
56,"http://id.nlm.nih.gov/mesh/2022/T043283
",Intervention
57,"http://id.nlm.nih.gov/mesh/2022/T030516
",Condition
58,"http://id.nlm.nih.gov/mesh/2022/T043329
",Intervention
59,"http://id.nlm.nih.gov/mesh/2022/T055622
",Intervention
60,"https://pubmed.ncbi.nlm.nih.gov/18399724
",Pubmed_Article
61,"http://id.nlm.nih.gov/mesh/2022/T034306
",Intervention
