ID,Label,Attribute
1," 
",trial
2,"https://pubmed.ncbi.nlm.nih.gov/30289507
",Pubmed_Article
3,"https://pubmed.ncbi.nlm.nih.gov/30649404
",Pubmed_Article
4,"http://id.nlm.nih.gov/mesh/2022/T365748
",Condition
5,"http://id.nlm.nih.gov/mesh/2022/T020311
",Intervention
6,"http://id.nlm.nih.gov/mesh/2022/T033552
",Intervention
7,"http://id.nlm.nih.gov/mesh/2022/T020308
",Intervention
8,"http://id.nlm.nih.gov/mesh/2022/T015123
",Intervention
9,"http://id.nlm.nih.gov/mesh/2022/T030516
",Condition
10,"http://id.nlm.nih.gov/mesh/2022/T015160
",Intervention
11,"https://pubmed.ncbi.nlm.nih.gov/32016427
",Pubmed_Article
12,"http://id.nlm.nih.gov/mesh/2022/T538909
",Intervention
13,"http://id.nlm.nih.gov/mesh/2022/T033539
",Intervention
